"","total_counts","counts_5","counts_95"
"105",31311,31311,0
"205",65,65,0
"305",26,26,0
"495",17521,0,17521
"595",13171,0,13171
"605",17,17,0
"795",613,0,613
"895",72,0,72
"995",13,0,13
